Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
Bristol-Myers Squibb Company,Bristol-Myers Squibb,"$2,100,000 ",$0 ,"$2,100,000 ",2009,20090331,consumer-protection-related offenses,consumer protection violation,,"Drug maker Bristol-Myers Squibb Company was fined $2.1 million for failing to inform the Federal Trade Commission of an agreement reached with Apotex, Inc. under which which Apotex agreed not to launch its generic version of Plavix for several years, and Bristol-Myers stated that it would not compete with Apotex during the first 180 days after Apotex did market its new generic drug.",federal,agency action,Federal Trade Commission,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.ftc.gov/news-events/press-releases/2009/03/bristol-myers-squibb-pay-21-million-penalty-failure-disclose,
Bristol-Myers Squibb Company,Bristol-Myers Squibb,"$515,000,000 ",$0 ,"$515,000,000 ",2007,20070928,healthcare-related offenses,off-label or unapproved promotion of medical products,kickbacks and bribery,"Bristol-Myers Squibb Company and its wholly owned subsidiary Apothecon, Inc. agreed to pay $515 million to resolve a broad array of civil allegations involving their drug marketing and pricing practices.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html,
Bristol-Myers Squibb Company,Bristol-Myers Squibb,"$150,000,000 ",$0 ,"$150,000,000 ",2004,20040804,financial offenses,accounting fraud or deficiencies,,"Bristol-Myers Squibb Company agreed to pay $150 million to settle allegations that it perpetrated a fraudulent earnings management scheme by, among other things, selling excessive amounts of pharmaceutical products to its wholesalers ahead of demand, improperly recognizing revenue from $1.5 billion of such sales to its two largest wholesalers and using cookie jar reserves to meet its internal sales and earnings targets and analysts' earnings estimates.",federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/press/2004-105.htm,
"Bristol-Myers Squibb Medical Imaging, Inc.",Bristol-Myers Squibb,"$16,200 ",$0 ,"$16,200 ",2004,20041112,competition-related offenses,export control violation,,,federal,agency action,Bureau of Industry and Security,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,FOIA236,Source document obtained through a Freedom of Information Act request to the agency.
CAMBRIDGE MAJOR LABORATORIES INC,Alcami,"$18,560 ",$0 ,"$18,560 ",2006,20060913,safety-related offenses,motor vehicle safety violation,,WI-2006-0168-US0586,federal,agency action,Federal Motor Carrier Safety Administration,civil,,,,,,Wisconsin,GERMANTOWN,,,,,USA,North Carolina,privately held,,pharmaceuticals,pharmaceutical manufacturing services,https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf,Year is fiscal year. Date is closing date.
CAMBRIDGE MAJOR LABORATORIES INC,Alcami,"$15,820 ",$0 ,"$15,820 ",2005,20050922,safety-related offenses,motor vehicle safety violation,,WI-2005-0125-US0586,federal,agency action,Federal Motor Carrier Safety Administration,civil,,,,,,Wisconsin,GERMANTOWN,,,,,USA,North Carolina,privately held,,pharmaceuticals,pharmaceutical manufacturing services,https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf,Year is fiscal year. Date is closing date.
Cephalon Inc,Teva Pharmaceutical Industries,"$425,000,000 ",$0 ,"$425,000,000 ",2008,20080929,healthcare-related offenses,off-label or unapproved promotion of medical products,False Claims Act and related,Cephalon Inc. agreed to enter a criminal plea and pay a $50 million criminal penalty and a $375 million civil settlement to resolve claims that it marketed three drugs for uses not approved by the Food and Drug Administration.,federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2008/September/08-civ-860.html,
Cephalon Inc.,Teva Pharmaceutical Industries,"$7,500,000 ",$0 ,"$7,500,000 ",2015,20150706,government-contracting-related offenses,False Claims Act and related,,"Cephalon Inc. agreed to pay the United States and participating states a total of $7.5 million, plus interest, to resolve allegations that it knowingly underpaid rebates owed under the Medicaid Drug Rebate Program.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/astrazeneca-and-cephalon-pay-465-million-and-75-million-respectively-allegedly-underpaying,
"Cephalon, Inc.",Teva Pharmaceutical Industries,"$1,200,000,000 ",$0 ,"$1,200,000,000 ",2015,20150528,consumer-protection-related offenses,consumer protection violation,price-fixing or anti-competitive practices,"The Federal Trade Commission reached a settlement resolving a suit accusing Cephalon, Inc. of illegally blocking generic competition to its blockbuster sleep-disorder drug Provigil. The settlement ensures that Teva Pharmaceutical Industries, Ltd., which acquired Cephalon in 2012, will make a total of $1.2 billion available to compensate purchasers, including drug wholesalers, pharmacies, and insurers, who overpaid because of Cephalon's illegal conduct.",federal,agency action,Federal Trade Commission,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.ftc.gov/news-events/press-releases/2015/05/ftc-settlement-cephalon-pay-delay-case-ensures-12-billion-ill,
CHEROKEE PHARMACEUTICALS LLC,Merck,"$10,001 ",$0 ,"$10,001 ",2011,20110613,employment-related offenses,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,civil,,,,,,Pennsylvania,,,,,,USA,New Jersey,publicly traded,MRK,pharmaceuticals,pharmaceuticals,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
Chiron Corporation Ltd,Novartis,"$168,500 ",$0 ,"$168,500 ",2004,20040604,financial offenses,economic sanction violation,,,federal,agency action,Office of Foreign Assets Control,civil,,,,,,,,,,,,Switzerland,,publicly traded,NYSE: NVS,pharmaceuticals,pharmaceuticals,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06042004.pdf,
Cypress Pharmaceutical Inc.,Currax Pharmaceuticals,"$2,800,000 ",$0 ,"$2,800,000 ",2012,20120328,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Mississippi-based Cypress Pharmaceutical Inc., its subsidiary Hawthorn Pharmaceuticals Inc. and its CEO, Max Draughn, have agreed to pay $2.8 million to resolve civil allegations under the False Claims Act, the Justice Department announced. The government alleged that between 2003 and 2009, Cypress, Hawthorn and Draughn were responsible for marketing three pharmaceutical products that were not approved as safe and effective by the Food and Drug Administration (FDA). The products were Hylira, a gel used for the treatment of dry skin, Zaclir, an acne treatment and Zacare, another acne treatment.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil,,,,,,,,,,,,USA,New Jersey,privately held,,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/mississippi-pharmaceutical-firm-and-ceo-pay-28-million-resolve-allegations-illegal-marketing,
Daiichi Sankyo Inc.,Daiichi Sankyo,"$39,000,000 ",$0 ,"$39,000,000 ",2015,20150109,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Daiichi Sankyo Inc., a global pharmaceutical company with its U.S. headquarters in New Jersey, agreed to pay the United States and state Medicaid programs $39 million to resolve allegations that it violated the False Claims Act by paying kickbacks to induce physicians to prescribe Daiichi drugs.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/daiichi-sankyo-inc-agrees-pay-39-million-settle-kickback-allegations-under-false-claims-act,
Dava Pharmaceuticals Inc.,Endo International,"$11,000,000 ",$0 ,"$11,000,000 ",2012,20120208,government-contracting-related offenses,False Claims Act and related,,Dava Pharmaceuticals Inc. agreed to pay the United States $11 million to settle allegations that it violated the False Claims Act by misreporting drug prices in order to reduce its Medicaid Drug Rebate obligations.,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/dava-pharmaceuticals-pay-us-11-million-settle-false-claims-act-allegations,
Dey Inc.,Viatris,"$280,000,000 ",$0 ,"$280,000,000 ",2010,20101220,government-contracting-related offenses,False Claims Act and related,,"Dey Inc., Dey Pharma L.P. and Dey L.P. Inc. agreed to pay $280 million to settle False Claims Act allegations that they engaged in a scheme to report false and inflated prices for numerous pharmaceutical products, knowing that federal health care programs relied on those reported prices to set payment rates.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/pharmaceutical-manufacturer-pay-280-million-settle-false-claims-act-case,
"Dey, Inc.",Viatris,"$18,500,000 ",$0 ,"$18,500,000 ",2003,20030611,government-contracting-related offenses,False Claims Act and related,fraud,"Dey, Inc., a manufacturer of prescription drugs for the treatment of allergies and respiratory diseases, agreed to pay the United States and the state of Texas $18.5 million to settle allegations of health care fraud.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2003/June/03_civ_350.htm,
DuPont Pharmaceuticals Company,Bristol-Myers Squibb,"$6,600 ",$0 ,"$6,600 ",2004,20040806,financial offenses,economic sanction violation,,,federal,agency action,Office of Foreign Assets Control,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,
Eisai Inc.,Eisai,"$11,000,000 ",$0 ,"$11,000,000 ",2010,20101215,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Irish pharmaceutical manufacturer Elan Corporation PLC and its U.S. subsidiary Elan Pharmaceuticals Inc. agreed to pay more than $203 million to resolve criminal and civil liability arising from the illegal promotion of the epilepsy drug Zonegran. In a separate civil settlement, Japanese drug marketer Eisai Inc., which purchased the drug from Elan, will pay $11 million to resolve civil liability for off-label marketing of Zonegran.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/pharmaceutical-companies-pay-2145-million-resolve-allegations-label-promotion-zonegran,
Elan Pharmaceuticals Inc.,Perrigo,"$31,000 ",$0 ,"$31,000 ",2005,20050620,competition-related offenses,export control violation,,,federal,agency action,Bureau of Industry and Security,civil,,,,,,,,,,,,Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,FOIA204,Source document obtained through a Freedom of Information Act request to the agency.
Elan Corporation PLC,Perrigo,"$203,000,000 ",$0 ,"$203,000,000 ",2010,20101215,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Irish pharmaceutical manufacturer Elan Corporation PLC and its U.S. subsidiary Elan Pharmaceuticals Inc. agreed to pay more than $203 million to resolve criminal and civil liability arising from the illegal promotion of the epilepsy drug Zonegran. In a separate civil settlement, Japanese drug marketer Eisai Inc., which purchased the drug from Elan, will pay $11 million to resolve civil liability for off-label marketing of Zonegran.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/pharmaceutical-companies-pay-2145-million-resolve-allegations-label-promotion-zonegran,
